iso_code,year,age,unmet_need_section,unmet_need
364,2010,15_49,spacing,3.59
364,2010,15_49,limiting,2.1
368,2011,15_49,spacing,4.5
368,2011,15_49,limiting,3.5
380,1995,20_49,limiting,11.8
384,1994,15_49,spacing,20.8
384,1994,15_49,limiting,9.6
384,1998,15_49,spacing,21
384,1998,15_49,limiting,7.9
384,2011,15_49,spacing,17.3
384,2011,15_49,limiting,4.9
388,1997,15_49,spacing,7
388,1997,15_49,limiting,7
388,2002,15_49,spacing,3.6
388,2002,15_49,limiting,8.1
398,1995,15_49,spacing,4.6
398,1995,15_49,limiting,11.7
398,1999,15_49,spacing,4.1
398,1999,15_49,limiting,7.7
398,2010,15_49,spacing,4.7
398,2010,15_49,limiting,6.9
400,1990,15_49,spacing,9.7
400,1990,15_49,limiting,16.8
400,1997,15_49,spacing,9.9
400,1997,15_49,limiting,10.2
400,2002,15_49,spacing,7
400,2002,15_49,limiting,7.9
400,2007,15_49,spacing,5.7
400,2007,15_49,limiting,8.2
400,2009,15_49,spacing,6
400,2009,15_49,limiting,7.4
400,2012,15_49,spacing,4.9
400,2012,15_49,limiting,6.8
404,1988,15_49,spacing,22.4
404,1988,15_49,limiting,15.5
404,1993,15_49,spacing,20.7
404,1993,15_49,limiting,14.6
404,1998,15_49,spacing,16
404,1998,15_49,limiting,11.9
404,2003,15_49,spacing,15.2
404,2003,15_49,limiting,12.2
404,2008,15_49,spacing,12.5
404,2008,15_49,limiting,13.1
404,2014,15_49,spacing,11.7
404,2014,15_49,limiting,9.2
404,2014,15_49,spacing,9.7
404,2014,15_49,limiting,8.9
417,1997,15_49,spacing,4.7
417,1997,15_49,limiting,7.1
417,2012,15_49,spacing,12.4
417,2012,15_49,limiting,5.7
418,2000,15_49,spacing,10.5
418,2000,15_49,limiting,29
418,2005,15_49,spacing,11
418,2005,15_49,limiting,16.3
418,2011,15_49,spacing,8.2
418,2011,15_49,limiting,11.8
426,2004,15_49,spacing,9.6
426,2004,15_49,limiting,21.4
426,2009,15_49,spacing,10.9
426,2009,15_49,limiting,12.4
428,1995,18_49,limiting,16.8
430,1986,15_49,spacing,19.8
430,1986,15_49,limiting,13
430,2007,15_49,spacing,24.2
430,2007,15_49,limiting,11.4
430,2013,15_49,spacing,22
430,2013,15_49,limiting,9.1
434,2007,15_49,spacing,20
434,2007,15_49,limiting,7
440,1994,18_49,limiting,18
450,1992,15_49,spacing,16.2
450,1992,15_49,limiting,16.2
450,1997,15_49,spacing,14.7
450,1997,15_49,limiting,12.9
450,2003,15_49,spacing,11.8
450,2003,15_49,limiting,12.7
450,2008,15_49,spacing,10.2
450,2008,15_49,limiting,8.8
454,1992,15_49,spacing,24.3
454,1992,15_49,limiting,12.2
454,2000,15_49,spacing,14.9
454,2000,15_49,limiting,15
454,2004,15_49,spacing,16.2
454,2004,15_49,limiting,14.1
454,2010,15_49,spacing,12.4
454,2010,15_49,limiting,13.8
462,2009,15_49,spacing,15
462,2009,15_49,limiting,13.6
466,1987,15_49,spacing,17.2
466,1987,15_49,limiting,5.7
466,1995,15_49,spacing,21
466,1995,15_49,limiting,6.5
466,2001,15_49,spacing,21.5
466,2001,15_49,limiting,8.2
466,2006,15_49,spacing,20.3
466,2006,15_49,limiting,7.3
466,2012,15_49,spacing,18.6
466,2012,15_49,limiting,7.4
478,2000,15_49,spacing,23.2
478,2000,15_49,limiting,8.9
478,2011,15_49,spacing,21
478,2011,15_49,limiting,10
480,1991,15_44,spacing,1
480,1991,15_44,limiting,5
484,1987,15_49,spacing,12.1
484,1987,15_49,limiting,13
484,1995,15_49,spacing,7.2
484,1995,15_49,limiting,8.9
484,1997,15_49,spacing,6.9
484,1997,15_49,limiting,5.2
484,2003,15_49,spacing,5.1
484,2003,15_49,limiting,4.8
484,2006,15_49,spacing,6.2
484,2006,15_49,limiting,5.7
484,2009,15_49,spacing,5.2
484,2009,15_49,limiting,4.6
496,1998,15_49,spacing,2.9
496,1998,15_49,limiting,6.9
496,2003,15_49,spacing,2
496,2003,15_49,limiting,2.6
496,2008,15_49,spacing,13.7
496,2008,15_49,limiting,0.7
496,2010,15_49,spacing,5.9
496,2010,15_49,limiting,16.5
498,1997,15_44,spacing,3
498,1997,15_44,limiting,3
498,2005,15_49,spacing,3.1
498,2005,15_49,limiting,8.2
498,2012,15_49,spacing,4.8
498,2012,15_49,limiting,4.7
504,1987,15_49,spacing,12.5
504,1987,15_49,limiting,9.6
504,1992,15_49,spacing,9.6
504,1992,15_49,limiting,13.9
504,1995,15_49,spacing,6.3
504,1995,15_49,limiting,9.8
504,2003,15_49,spacing,4.4
504,2003,15_49,limiting,7.4
504,2010,15_49,spacing,4.2
504,2010,15_49,limiting,6.7
508,1997,15_49,spacing,18.7
508,1997,15_49,limiting,6.3
508,2003,15_49,spacing,10.9
508,2003,15_49,limiting,8
508,2011,15_49,spacing,15.6
508,2011,15_49,limiting,12.9
512,2007,15_49,spacing,31.8
512,2007,15_49,limiting,24.1
516,1992,15_49,spacing,14.6
516,1992,15_49,limiting,7.1
516,2000,15_49,spacing,9.9
516,2000,15_49,limiting,14
516,2006,15_49,spacing,8.6
516,2006,15_49,limiting,12.1
516,2013,15_49,spacing,9.1
516,2013,15_49,limiting,8.4
520,2007,15_49,spacing,16.4
520,2007,15_49,limiting,7.1
524,1991,15_49,spacing,12.4
524,1991,15_49,limiting,15.3
524,1996,15_49,spacing,14.8
524,1996,15_49,limiting,17.5
524,2001,15_49,spacing,11.1
524,2001,15_49,limiting,16.7
524,2006,15_49,spacing,9.3
524,2006,15_49,limiting,15.4
524,2011,15_49,spacing,9.9
524,2011,15_49,limiting,17.6
548,2013,15_49,spacing,11.5
548,2013,15_49,limiting,12.7
558,1997,15_49,spacing,7.3
558,1997,15_49,limiting,10.5
558,2001,15_49,spacing,5.6
558,2001,15_49,limiting,9
558,2006,15_49,spacing,5.5
558,2006,15_49,limiting,5.2
562,1992,15_49,spacing,15.6
562,1992,15_49,limiting,3.1
562,1998,15_49,spacing,14.7
562,1998,15_49,limiting,3
562,2006,15_49,spacing,13.4
562,2006,15_49,limiting,2.7
562,2012,15_49,spacing,13.3
562,2012,15_49,limiting,2.7
566,1990,15_49,spacing,16.5
566,1990,15_49,limiting,5.1
566,1999,15_49,spacing,15.1
566,1999,15_49,limiting,4.9
566,2003,15_49,spacing,12
566,2003,15_49,limiting,5.5
566,2008,15_49,spacing,14.5
566,2008,15_49,limiting,5.7
566,2011,15_49,spacing,13.3
566,2011,15_49,limiting,5.6
584,2007,15_49,spacing,3
584,2007,15_49,limiting,5.1
586,1990,15_49,spacing,15
586,1990,15_49,limiting,15.4
586,1996,15_49,spacing,13.4
586,1996,15_49,limiting,24.1
586,2000,15_49,spacing,12.1
586,2000,15_49,limiting,20.9
586,2006,15_49,spacing,10.8
586,2006,15_49,limiting,14.4
586,2012,15_49,spacing,8.8
586,2012,15_49,limiting,11.3
591,2013,15_49,spacing,7.9
591,2013,15_49,limiting,8.5
600,1990,15_49,spacing,10.3
600,1990,15_49,limiting,7.1
600,1998,15_44,spacing,9
600,1998,15_44,limiting,8
604,1986,15_49,spacing,8.1
604,1986,15_49,limiting,19.6
604,1991,15_49,spacing,6.2
604,1991,15_49,limiting,15.4
604,1996,15_49,spacing,5.5
604,1996,15_49,limiting,12.2
604,2000,15_49,spacing,4.9
604,2000,15_49,limiting,9.4
604,2007,15_49,spacing,5.3
604,2007,15_49,limiting,7.3
604,2009,15_49,spacing,2.8
604,2009,15_49,limiting,4.4
604,2010,15_49,spacing,2.6
604,2010,15_49,limiting,4.3
604,2011,15_49,spacing,2.1
604,2011,15_49,limiting,4
604,2012,15_49,spacing,3.6
604,2012,15_49,limiting,4.7
604,2013,15_49,spacing,4
604,2013,15_49,limiting,5
608,1993,15_49,spacing,13.5
608,1993,15_49,limiting,16.7
608,1998,15_49,spacing,10.2
608,1998,15_49,limiting,14.3
608,2003,15_49,spacing,9.1
608,2003,15_49,limiting,13.5
608,2008,15_49,spacing,8.5
608,2008,15_49,limiting,13.5
608,2011,15_49,spacing,10.5
608,2011,15_49,limiting,8.8
608,2013,15_49,spacing,6.7
608,2013,15_49,limiting,10.8
624,2010,15_49,spacing,4.6
624,2010,15_49,limiting,1.4
626,1991,15_49,spacing,11.5
626,1991,15_49,limiting,6.7
626,1994,15_49,spacing,8.3
626,1994,15_49,limiting,5
626,1997,15_49,spacing,11.4
626,1997,15_49,limiting,5.9
626,2003,15_49,spacing,3.7
626,2003,15_49,limiting,0.1
626,2009,15_49,spacing,20.9
626,2009,15_49,limiting,10.6
630,1995,15_49,spacing,2
630,1995,15_49,limiting,2
634,2012,15_49,spacing,7.3
634,2012,15_49,limiting,5.1
642,1999,15_44,spacing,1.7
642,1999,15_44,limiting,3.9
646,1992,15_49,spacing,20.2
646,1992,15_49,limiting,18
646,2000,15_49,spacing,22.8
646,2000,15_49,limiting,13.5
646,2005,15_49,spacing,23.5
646,2005,15_49,limiting,14.9
646,2010,15_49,spacing,10.7
646,2010,15_49,limiting,10.1
662,2012,15_49,spacing,8.2
662,2012,15_49,limiting,8.8
678,2008,15_49,spacing,18
678,2008,15_49,limiting,19.6
686,1986,15_49,spacing,25.3
686,1986,15_49,limiting,12.2
686,1992,15_49,spacing,21.7
686,1992,15_49,limiting,7.1
686,2005,15_49,spacing,24.3
686,2005,15_49,limiting,7.7
686,2010,15_49,spacing,22.3
686,2010,15_49,limiting,7.8
686,2012,15_49,spacing,22
686,2012,15_49,limiting,7.4
688,2010,15_49,spacing,3.1
688,2010,15_49,limiting,3.5
688,2014,15_49,spacing,4.3
688,2014,15_49,limiting,10.7
694,2008,15_49,spacing,16.1
694,2008,15_49,limiting,12.2
694,2010,15_49,spacing,17.7
694,2010,15_49,limiting,9.7
694,2013,15_49,spacing,16.7
694,2013,15_49,limiting,8.3
704,1997,15_49,spacing,3.6
704,1997,15_49,limiting,4.8
704,2002,15_49,spacing,2.3
704,2002,15_49,limiting,4.4
704,2010,15_49,spacing,2.3
704,2010,15_49,limiting,2
705,1994,15_45,limiting,9.2
710,1998,15_49,spacing,5.7
710,1998,15_49,limiting,10.8
710,2003,15_49,spacing,4.7
710,2003,15_49,limiting,9.1
716,1994,15_49,spacing,10.6
716,1994,15_49,limiting,8.5
716,1999,15_49,spacing,8.5
716,1999,15_49,limiting,8.2
716,2005,15_49,spacing,7.2
716,2005,15_49,limiting,8.2
716,2010,15_49,spacing,8.7
716,2010,15_49,limiting,5.9
724,1994,20_49,spacing,6.3
724,1994,20_49,limiting,5.4
728,2010,15_49,spacing,19.1
728,2010,15_49,limiting,7.2
729,1989,15_49,spacing,15.5
729,1989,15_49,limiting,13.4
729,2010,15_49,spacing,18.4
729,2010,15_49,limiting,10.5
740,2010,15_49,spacing,7.7
740,2010,15_49,limiting,9.1
748,2006,15_49,spacing,6.7
748,2006,15_49,limiting,18.1
748,2010,15_49,spacing,5.5
748,2010,15_49,limiting,7.5
760,2009,15_49,spacing,11.5
760,2009,15_49,limiting,4.9
762,2012,15_49,spacing,11.8
762,2012,15_49,limiting,11
764,1987,15_49,spacing,5.6
764,1987,15_49,limiting,5.5
768,1988,15_49,spacing,28.5
768,1988,15_49,limiting,11.7
768,1998,15_49,spacing,23.6
768,1998,15_49,limiting,11.4
768,2010,15_49,spacing,23.1
768,2010,15_49,limiting,14.1
768,2013,15_49,spacing,21.8
768,2013,15_49,limiting,11.8
776,2012,15_49,spacing,13.2
776,2012,15_49,limiting,12
780,1987,15_49,spacing,8.3
780,1987,15_49,limiting,7.9
788,2011,15_49,spacing,3.7
788,2011,15_49,limiting,3.3
792,1993,15_49,spacing,4.4
792,1993,15_49,limiting,10.2
792,1998,15_49,spacing,5
792,1998,15_49,limiting,9
792,2003,15_49,spacing,3.1
792,2003,15_49,limiting,6.4
792,2008,15_49,spacing,2.1
792,2008,15_49,limiting,4.1
792,2013,15_49,spacing,2.6
792,2013,15_49,limiting,3.3
795,2000,15_49,spacing,4.7
795,2000,15_49,limiting,8.3
798,2007,15_49,spacing,12.1
798,2007,15_49,limiting,12.1
800,1995,15_49,spacing,18.9
800,1995,15_49,limiting,11.1
800,2000,15_49,spacing,20.3
800,2000,15_49,limiting,14.7
800,2006,15_49,spacing,23.7
800,2006,15_49,limiting,14.3
800,2011,15_49,spacing,20.8
800,2011,15_49,limiting,13.5
800,2014,15_49,spacing,20.7
800,2014,15_49,limiting,14
804,1999,15_44,spacing,3.4
804,1999,15_44,limiting,14.1
804,2007,15_49,spacing,3.7
804,2007,15_49,limiting,6.4
804,2012,15_49,spacing,3.1
804,2012,15_49,limiting,1.8
807,2011,15_49,spacing,5.3
807,2011,15_49,limiting,11.8
818,1992,15_49,spacing,7.1
818,1992,15_49,limiting,15.8
818,1995,15_49,spacing,6.4
818,1995,15_49,limiting,13.8
818,1997,15_49,spacing,5.6
818,1997,15_49,limiting,12.2
818,1998,15_49,spacing,3.7
818,1998,15_49,limiting,10.8
818,2000,15_49,spacing,3.8
818,2000,15_49,limiting,9.9
818,2003,15_49,spacing,3.7
818,2003,15_49,limiting,8.1
818,2005,15_49,spacing,3.5
818,2005,15_49,limiting,8.8
818,2008,15_49,spacing,3.4
818,2008,15_49,limiting,8.2
818,2014,15_49,spacing,4.5
818,2014,15_49,limiting,8.1
834,1991,15_49,spacing,18.4
834,1991,15_49,limiting,9.4
834,1994,15_49,spacing,17.5
834,1994,15_49,limiting,9.7
834,1996,15_49,spacing,15.8
834,1996,15_49,limiting,10.1
834,1999,15_49,spacing,13.3
834,1999,15_49,limiting,9
834,2004,15_49,spacing,16.1
834,2004,15_49,limiting,8.2
834,2009,15_49,spacing,15.9
834,2009,15_49,limiting,9.4
854,1992,15_49,spacing,18
854,1992,15_49,limiting,6.6
854,1998,15_49,spacing,22.8
854,1998,15_49,limiting,7.5
854,2003,15_49,spacing,22.3
854,2003,15_49,limiting,7.5
854,2010,15_49,spacing,17.8
854,2010,15_49,limiting,6.7
854,2014,15_49,spacing,30.4
854,2014,15_49,limiting,5.3
860,1996,15_49,spacing,6.5
860,1996,15_49,limiting,7.2
862,1998,15_49,spacing,6.7
862,1998,15_49,limiting,12.2
882,2009,15_49,spacing,20.6
882,2009,15_49,limiting,27.2
887,1997,15_49,spacing,17.5
887,1997,15_49,limiting,22.5
887,2006,15_49,spacing,13
887,2006,15_49,limiting,10.6
887,2013,15_49,spacing,15
887,2013,15_49,limiting,13.8
894,1992,15_49,spacing,20.8
894,1992,15_49,limiting,9.2
894,1996,15_49,spacing,16.9
894,1996,15_49,limiting,8.3
894,2001,15_49,spacing,15
894,2001,15_49,limiting,12.5
894,2007,15_49,spacing,15.9
894,2007,15_49,limiting,10.6
894,2013,15_49,spacing,13.9
894,2013,15_49,limiting,7.2
