iso_code,year,age,unmet_need
630,1995-1996,15_49,4
634,2012,15_49,12.4
498,1997,15_44,6.7
498,2005,15_49,11.4
498,2012,15_49,9.5
642,1993,15_44,11.4
642,1999,15_44,5.6
642,2004,15_44,11.9
643,2011,15_44,8
646,1992,15_49,38.2
646,2000,15_49,36.4
646,2005,15_49,38.5
646,2010-2011,15_49,20.8
662,2012,15_49,17
882,2009,15_49,47.7
678,2008-2009,15_49,37.6
686,1986,15_49,37.4
686,1992-1993,15_49,28.8
686,2005,15_49,32
686,2010-2011,15_49,30.1
686,2012-2013,15_49,29.3
688,2010,15_49,6.6
688,2014,15_49,14.9
694,2008,15_49,28.4
694,2010,15_49,27.4
694,2013,15_49,25
705,1994-1995,15_45,9.2
90,2006-2007,15_49,11.1
710,1998,15_49,16.5
710,2003-2004,15_49,13.8
728,2010,15_49,26.3
724,1994-1995,20_49,11.8
144,1987,15_49,12.3
144,2000,15_49,18.2
144,2006-2007,15_49,7.3
275,2010,15_49,15.6
729,1989-1990,15_49,28.9
729,1992-1993,15_49,26
729,2010,15_49,28.9
740,2010,15_49,16.9
748,2006-2007,15_49,24.7
748,2010,15_49,13
760,2009-2010,15_49,16.4
762,2012,15_49,22.9
764,1987,15_49,11.1
764,2006,15_49,3.1
764,2012,15_49,6.9
807,2011,15_49,17.2
626,1991,15_49,18.3
626,1994,15_49,13.3
626,1997,15_49,17.4
626,2003,15_49,3.8
626,2009-2010,15_49,31.5
768,1988,15_49,40.1
768,1998,15_49,35
768,2010,15_49,37.2
768,2013-2014,15_49,33.6
776,2012,15_49,25.2
780,1987,15_49,16.1
788,2001,15_49,12.1
788,2011-2012,15_49,7
792,1993,15_49,14.6
792,1998,15_49,14
792,2003,15_49,9.5
792,2008,15_49,6.2
792,2013,15_49,5.9
795,2000,15_49,13.1
798,2007,15_49,24.2
800,1995,15_49,30
800,2000-2001,15_49,35
800,2006,15_49,38
800,2011,15_49,34.3
800,2014,15_49,34.7
804,1999,15_44,17.5
804,2007,15_49,10.1
804,2012,15_49,4.9
834,1991-1992,15_49,27.8
834,1994,15_49,27.3
834,1996,15_49,26
834,1999,15_49,22.3
834,2004-2005,15_49,24.3
834,2009-2010,15_49,25.3
840,1988,15_44,4
840,1990,15_44,6
840,2002,15_44,6.3
840,2006-2008,15_44,5.8
840,2006-2010,15_44,8
860,1996,15_49,13.7
548,2013,15_49,24.2
862,1998,15_49,18.9
704,1997,15_49,8.4
704,2002,15_49,6.6
704,2010-2011,15_49,4.3
704,2013-2014,15_49,6.1
887,1997,15_49,40
887,2006,15_49,23.6
887,2013,15_49,28.7
894,1992,15_49,30
894,1996-1997,15_49,25.2
894,2001-2002,15_49,27.5
894,2007,15_49,26.6
894,2013-2014,15_49,21.1
716,1994,15_49,19.1
716,1999,15_49,16.7
716,2005-2006,15_49,15.5
716,2010-2011,15_49,14.6
716,2014,15_49,10.4
